ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,545.1072071367087,545.20263671875,99.25854918225212,98.80394744873047,79.5954300023476,79.59542846679688,118.1567415290711,118.19924926757812,0,-2.531568331701355e-20,19.94874403317944,19.948694229125977
Test_1,547.9341106502856,548.5771484375,18.86689099303545,18.450088500976562,79.5954300023476,79.59542846679688,560.7813600438219,549.7821655273438,0,-2.531568331701355e-20,19.94874403317944,19.948694229125977
Test_2,568.1841302136318,568.4404296875,99.25854918225212,98.98490142822266,79.5954300023476,79.59542846679688,142.2431332655137,140.3267822265625,0,-2.531568331701355e-20,19.94874403317944,19.948694229125977
Test_3,573.5757884028484,572.3037109375,17.67548321464903,18.247314453125,79.5954300023476,79.59542846679688,303.3512011894514,311.39898681640625,0,-2.531568331701355e-20,19.94874403317944,19.948694229125977
Test_4,643.9216683621567,644.7561645507812,121.0266844041005,119.0682601928711,79.5954300023476,79.59542846679688,118.1567415290711,120.45794677734375,0,-2.531568331701355e-20,19.94874403317944,19.948694229125977
Test_5,555.820095469129,555.8642578125,175.7590578292511,172.87478637695312,79.5954300023476,79.59542846679688,396.0775491039987,396.6658935546875,0,-2.531568331701355e-20,19.94874403317944,19.948694229125977
Test_6,691.3882150403005,689.9022827148438,75.60059472572189,77.03113555908203,79.5954300023476,79.59542846679688,142.2431332655137,143.51202392578125,0,-2.531568331701355e-20,19.94874403317944,19.948694229125977
Test_7,518.8199389623601,518.6636352539062,70.70975819704202,70.93783569335938,79.5954300023476,79.59542846679688,142.2431332655137,142.15020751953125,0,-2.531568331701355e-20,19.94874403317944,19.948694229125977
Test_8,555.6772830424916,556.0043334960938,257.3597308083574,262.6295166015625,79.5954300023476,79.59542846679688,118.1567415290711,120.11135864257812,0,-2.531568331701355e-20,19.94874403317944,19.948694229125977
Test_9,711.1237186008294,710.9906616210938,75.60059472572189,76.01907348632812,79.5954300023476,79.59542846679688,137.2779560215979,136.95993041992188,0,-2.531568331701355e-20,19.94874403317944,19.948694229125977
